service_id,date,exception_type
17453068,20211125,2
17453068,20211126,2
17453068,20211224,2
17453068,20220117,2
17453068,20220221,2
17453068,20220530,2
"+11459299+17453068~10917725",20210531,2
"+11459299+17453068~10917725",20210705,2
"+11459299+17453068~10917725",20210906,2
"+11459299+17453068~10917725",20211125,2
"+11459299+17453068~10917725",20211126,2
"+11459299+17453068~10917725",20211224,2
"+11459299+17453068~10917725",20211231,2
"+11459299+17453068~10917725",20220117,2
"+11459299+17453068~10917725",20220221,2
"+11459299+17453068~10917725",20220530,2
"+11459299+17453068",20210531,2
"+11459299+17453068",20210705,2
"+11459299+17453068",20210906,2
"+11459299+17453068",20211125,2
"+11459299+17453068",20211126,2
"+11459299+17453068",20211224,2
"+11459299+17453068",20220117,2
"+11459299+17453068",20220221,2
"+11459299+17453068",20220530,2
"+10917725+11459299+17453068",20211125,2
"+10917725+11459299+17453068",20211225,2
"+10917725+11459299+17453068",20220205,2
"+10917725+11459299+17453068",20220206,2
"+10917725+11459299+17453068",20220212,2
"+10917725+11459299+17453068",20220213,2
"+10917725+11459299+17453068",20220219,2
"+10917725+11459299+17453068",20220220,2
"+10917725+11459299+17453068",20220221,2
"+10917725+11459299+17453068",20220226,2
"+10917725+11459299+17453068",20220227,2
"+10917725+11459299+17453068",20220305,2
"+10917725+11459299+17453068",20220306,2
"+10917725+11459299+17453068",20220312,2
"+10917725+11459299+17453068",20220313,2
"+10917725+11459299+17453068",20220319,2
"+10917725+11459299+17453068",20220320,2
"+10917725+11459299+17453068",20220326,2
"+10917725+11459299+17453068",20220327,2
"+10917725+11459299+17453068",20220402,2
"+10917725+11459299+17453068",20220403,2
"+10917725+11459299+17453068",20220409,2
"+10917725+11459299+17453068",20220410,2
"+10917725+11459299+17453068",20220416,2
"+10917725+11459299+17453068",20220417,2
"+10917725+11459299+17453068",20220423,2
"+10917725+11459299+17453068",20220424,2
"+10917725+11459299+17453068",20220430,2
"+10917725+11459299+17453068",20220501,2
"+10917725+11459299+17453068",20220507,2
"+10917725+11459299+17453068",20220508,2
"+10917725+11459299+17453068",20220514,2
"+10917725+11459299+17453068",20220515,2
"+10917725+11459299+17453068",20220521,2
"+10917725+11459299+17453068",20220522,2
"+10917725+11459299+17453068",20220528,2
"+10917725+11459299+17453068",20220529,2
"+10917725+11459299+17453068",20220530,2
"+10917725+11459299+17453068",20220604,2
"+10917725+11459299+17453068",20220605,2
"+10917725+11459299+17453068",20220611,2
"+10917725+11459299+17453068",20220612,2
"+17453068~10917725~11459299",20211125,2
"+17453068~10917725~11459299",20211126,2
"+17453068~10917725~11459299",20211224,2
"+17453068~10917725~11459299",20211231,2
"+17453068~10917725~11459299",20220117,2
"+17453068~10917725~11459299",20220221,2
"+17453068~10917725~11459299",20220530,2
