shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10867637:1,35.28292800,-120.66243000,0,0.00000000
10867637:1,35.28295135,-120.66239166,1,4.34207865
10867637:1,35.28264999,-120.66218567,2,42.71553794
10867637:1,35.28349304,-120.66075134,3,203.14578449
10867637:1,35.28258896,-120.65995026,4,327.21639679
10867637:1,35.28332138,-120.65866852,5,469.23174351
10867637:1,35.28332138,-120.65866852,6,469.23174351
10867637:1,35.28580093,-120.65499115,7,902.16505640
10867637:1,35.28580475,-120.65499115,8,902.58923138
10867637:1,35.28659058,-120.65384674,9,1038.32767733
10867637:1,35.28718185,-120.65321350,10,1125.65567936
10867637:1,35.28718185,-120.65321350,11,1125.65567936
10867637:1,35.28863144,-120.65164948,12,1340.44140826
10867637:1,35.28937912,-120.65232849,13,1443.93126466
10867637:1,35.28937912,-120.65232849,14,1443.93126466
10867637:1,35.29026031,-120.65308380,15,1563.51595913
10867637:1,35.29108047,-120.65312195,16,1654.77927763
10867637:1,35.29127121,-120.65310669,17,1676.03319408
10867637:1,35.29127121,-120.65310669,18,1676.03319408
10867637:1,35.29407120,-120.65308380,19,1987.38456114
10867637:1,35.29407120,-120.65308380,20,1987.38456114
10867637:1,35.29623032,-120.65306091,21,2227.47658742
10867637:1,35.29700089,-120.65331268,22,2316.15420962
10867637:1,35.29727936,-120.65357971,23,2355.47462527
10867637:1,35.29933167,-120.65653229,24,2707.43599735
10867637:1,35.30017090,-120.65718079,25,2817.76214633
10867637:1,35.30031967,-120.65753174,26,2853.65113949
10867637:1,35.30031967,-120.65753174,27,2853.65113949
10867637:1,35.30044174,-120.65808105,28,2905.31648236
10867637:1,35.30110931,-120.65802002,29,2979.75346747
10867637:1,35.30136108,-120.65805054,30,3007.88566517
10867637:1,35.30152893,-120.65814972,31,3028.60631733
10867637:1,35.30247116,-120.65886688,32,3151.94556972
10867637:1,35.30266953,-120.65917969,33,3187.89409595
10867637:1,35.30282974,-120.65956879,34,3227.44356549
10867637:1,35.30287933,-120.65988922,35,3257.04032100
10867637:1,35.30284119,-120.66043854,36,3307.06936453
10867637:1,35.30228043,-120.66349030,37,3590.94150568
